line_idx,tts,k_theirs,k_opt,verdict,t_sec
0,[1],2,2,OPTIMAL,0.01
1,[2],2,2,OPTIMAL,0.00
2,[3],1,1,OPTIMAL,0.00
3,[6],4,4,OPTIMAL,0.00
4,[7],2,2,OPTIMAL,0.00
5,[8],2,2,OPTIMAL,0.00
6,[9],4,4,OPTIMAL,0.00
7,[10],1,1,OPTIMAL,0.00
8,[11],2,2,OPTIMAL,0.00
9,[14],2,2,OPTIMAL,0.00
10,[15],0,0,OPTIMAL,0.00
11,[22],6,6,OPTIMAL,0.04
12,[23],4,4,OPTIMAL,0.00
13,[24],5,5,OPTIMAL,0.02
14,[25],4,4,OPTIMAL,0.00
15,[26],4,4,OPTIMAL,0.01
16,[27],3,3,OPTIMAL,0.00
17,[30],4,4,OPTIMAL,0.00
18,[31],2,2,OPTIMAL,0.00
19,[40],4,4,OPTIMAL,0.00
20,[41],6,6,OPTIMAL,0.04
21,[42],2,2,OPTIMAL,0.00
22,[43],4,4,OPTIMAL,0.00
23,[44],4,4,OPTIMAL,0.00
24,[45],4,4,OPTIMAL,0.00
25,[46],3,3,OPTIMAL,0.00
26,[47],2,2,OPTIMAL,0.00
27,[60],3,3,OPTIMAL,0.00
28,[61],4,4,OPTIMAL,0.00
29,[62],4,4,OPTIMAL,0.00
30,[63],1,1,OPTIMAL,0.00
31,[104],6,6,OPTIMAL,0.03
32,[105],6,6,OPTIMAL,0.03
33,[106],4,4,OPTIMAL,0.00
34,[107],6,6,OPTIMAL,0.04
35,[110],4,4,OPTIMAL,0.00
36,[111],4,4,OPTIMAL,0.00
37,[126],5,5,OPTIMAL,0.02
38,[127],2,2,OPTIMAL,0.00
39,[128],2,2,OPTIMAL,0.00
40,[129],5,5,OPTIMAL,0.02
41,[130],4,4,OPTIMAL,0.00
42,[131],4,4,OPTIMAL,0.00
43,[134],6,6,OPTIMAL,0.04
44,[135],4,4,OPTIMAL,0.00
45,[136],1,1,OPTIMAL,0.00
46,[137],4,4,OPTIMAL,0.00
47,[138],2,2,OPTIMAL,0.00
48,[139],3,3,OPTIMAL,0.00
49,[142],4,4,OPTIMAL,0.00
50,[143],2,2,OPTIMAL,0.00
51,[150],6,6,OPTIMAL,0.04
52,[151],6,6,OPTIMAL,0.04
53,[152],4,4,OPTIMAL,0.00
54,[153],3,3,OPTIMAL,0.00
55,[154],4,4,OPTIMAL,0.00
56,[155],4,4,OPTIMAL,0.00
57,[158],6,6,OPTIMAL,0.03
58,[159],4,4,OPTIMAL,0.00
59,[168],2,2,OPTIMAL,0.00
60,[169],4,4,OPTIMAL,0.00
61,[171],2,2,OPTIMAL,0.00
62,[172],3,3,OPTIMAL,0.00
63,[173],4,4,OPTIMAL,0.00
64,[174],2,2,OPTIMAL,0.00
65,[175],1,1,OPTIMAL,0.00
66,[188],4,4,OPTIMAL,0.00
67,[189],5,5,OPTIMAL,0.02
68,[190],4,4,OPTIMAL,0.00
69,[191],2,2,OPTIMAL,0.00
70,[232],4,4,OPTIMAL,0.00
71,[233],6,6,OPTIMAL,0.04
72,[234],2,2,OPTIMAL,0.00
73,[235],4,4,OPTIMAL,0.00
74,[238],1,1,OPTIMAL,0.00
75,[239],2,2,OPTIMAL,0.00
76,[254],2,2,OPTIMAL,0.00
