npn_rep_hex,opt_catalogo,opt_rederivado,match,t_sec
0x000f,1,1,OK,0.0
0x001e,5,5,OK,0.2
0x006b,7,7,OK,1.1
0x0117,7,7,OK,1.6
0x011f,5,5,OK,0.2
0x013e,7,7,OK,1.1
0x016e,8,8,OK,8.9
0x0182,8,8,OK,10.9
0x018f,5,5,OK,0.2
0x019b,7,7,OK,1.3
0x01ab,4,4,OK,0.1
0x01bd,7,7,OK,1.4
0x01eb,6,6,OK,0.3
0x033f,4,4,OK,0.1
0x035b,6,6,OK,0.4
0x036b,7,7,OK,1.3
0x037d,7,7,OK,1.1
0x03c6,6,6,OK,0.4
0x03d7,5,5,OK,0.2
0x03de,6,6,OK,0.6
0x0666,5,5,OK,0.3
0x0673,7,7,OK,1.9
0x067e,8,8,OK,7.6
0x069f,6,6,OK,0.4
0x06b5,8,8,OK,18.9
0x06f1,7,7,OK,1.8
0x0779,9,9,OK,103.2
0x07b5,7,7,OK,1.8
0x07e3,7,7,OK,1.3
0x07f8,5,5,OK,0.2
0x166e,9,9,OK,85.1
0x1689,9,9,OK,100.2
0x1699,8,8,OK,8.3
0x16ad,9,9,OK,116.8
0x1798,8,8,OK,10.7
0x19e3,9,9,OK,65.4
0x6996,9,9,OK,75.7
