canon_hex,ub_shannon,opt,censored_k
0x00076275,12,10,
0x019bfc5e,15,,10
0x016fab71,15,,10
0x012df141,14,,10
0x011a7183,17,,10
0x001f6bb5,15,,10
0x0679b21b,19,,10
0x01a9ed23,14,,10
0x013f8e60,14,,10
0x012c670a,16,,10
0x0118248a,18,,10
0x00061abe,13,,10
0x016fa509,15,,10
0x013ebf58,17,,10
0x011fe361,15,,10
0x001f3ef1,12,,10
0x067699a5,14,,10
0x0369dac1,17,,10
0x017ead49,17,,10
0x012fc16a,13,,10
0x011ac16e,15,,10
0x001b65ae,14,,10
0x036ed506,16,,10
0x013cce35,15,,10
0x012d6e9b,17,,10
0x01168001,19,,10
0x00010117,13,,9
0x0358a64f,17,,10
0x01979e68,18,,10
0x013d8abd,12,,10
0x011e3782,15,,10
0x001b5dc3,13,,10
0x036ebca1,15,,10
0x01accb14,16,,10
0x013fac91,15,,10
0x013ebe8d,14,,10
0x012dd910,17,,10
0x011a588a,15,,10
0x0007f9e3,14,,10
0x03696e97,19,,10
0x01a9dc92,15,,10
0x013f6ced,16,,10
0x012c5b1e,15,,10
0x001fbd81,14,,10
0x16686881,22,,10
0x035aae44,14,,10
0x016bfc44,14,,10
0x01beef41,12,,10
0x0196be8d,15,,10
0x013d6fe8,17,,10
0x011bd477,16,,10
0x0117177e,19,,10
0x000187e3,13,10,
0x0359bb48,13,,10
0x016b9a69,15,,10
0x012d87f6,16,,10
0x011ad56a,15,,10
0x00183f1d,10,8,
0x000342c0,11,9,
0x012dd67a,16,,10
0x011fb5db,16,,10
0x001eaf19,12,,10
0x06729ed4,17,,10
0x01a9cb79,15,,10
0x017e9972,15,,10
0x012f76b9,15,,10
0x011ab582,16,,10
0x00181ebf,15,,10
0x036adaac,18,,10
0x0199b6d8,16,,10
0x013de988,16,,10
0x016a7e49,16,,10
0x013cef69,13,,10
0x011bc8a3,17,,10
0x0019be2f,14,,10
0x036cfc03,11,10,
0x0358e3b5,16,,10
0x016b9a68,16,,10
0x012d7e24,16,,10
0x011799a2,16,,10
0x00182df4,15,,10
0x036ae80b,18,,10
0x0196a847,18,,10
0x016abd8c,17,,10
0x012d6ed5,16,,10
0x011688bc,14,,10
0x0019e26f,14,,10
0x036df523,16,,10
0x0197ac5e,18,,10
0x013d8c37,13,,10
0x011e628f,17,,10
0x001ffa56,12,,10
0x16696996,16,,10
0x011f9ff6,16,,10
0x011a36df,16,,10
0x0007ebf3,12,,10
0x0368daa4,17,,10
0x016fe29a,17,,10
0x013eeaca,14,,10
0x012c4e43,16,,10
0x001fb9ee,13,,10
0x067b9cc9,16,,10
0x01acbac2,17,,10
0x016bc12d,15,,10
0x012dacf8,15,,10
0x00018000,9,9,
0x000f34a0,11,10,
0x011a35bc,15,,10
0x001e9fa7,16,,10
0x06729bad,18,,10
0x01a9af52,12,,10
0x013ed9d6,12,,10
0x012f68d1,17,,10
0x011aa6df,16,,10
0x0017ae0c,11,10,
0x036acbd4,17,,10
0x01839cea,17,,10
0x013dce5e,14,,10
0x011e77fa,14,,10
0x00000000,0,0,
0x0007b7c4,13,,10
0x03686ed8,19,,10
0x019feae2,14,,10
0x013ec41a,16,,10
0x011ff078,13,,10
0x011a7692,15,,10
0x00179869,16,,10
0x036abd6e,17,,10
0x017f9e24,18,,10
0x012fd489,16,,10
0x011e76a0,17,,10
0x001b6de9,16,,10
0x001e9b58,15,,10
0x0667e399,17,,10
0x0368c911,17,,10
0x016fb01a,13,,10
0x012df7d0,15,,10
0x011ff3dc,13,,9
0x001fb532,14,,10
0x067a95d2,15,,10
0x01aacdd9,12,,10
0x013f8f1c,13,,10
0x012d9de6,18,,10
0x01182bc2,18,,10
0x011b9bbd,16,,10
0x01161669,20,,10
0x00010116,14,,10
0x033de8d8,16,,10
0x016ad951,15,,10
0x013d8672,17,,10
0x011bdde9,15,,10
0x001b5bd1,14,,10
0x036eb7a4,16,,10
0x0197ae74,16,,10
0x013f9c23,15,,10
0x012c767c,11,,10
0x012d662e,13,,10
0x011bace7,15,,10
0x0019bd43,17,,10
0x036ce34d,15,,10
0x01979a4b,17,,10
0x016adf16,18,,10
0x012d7c8a,18,,10
0x01178001,17,,10
0x00019ac3,12,,10
0x035a9799,14,,10
0x0186b2eb,19,,10
0x013c6dd2,16,,10
0x01161668,21,,10
0x0019b478,14,,10
0x036ce01f,14,,10
0x01979931,17,,10
0x013d8343,16,,10
0x012d7aa6,15,,10
0x0117177f,17,,9
0x00018998,11,10,
0x0359f68b,17,,10
0x016bbd1c,19,,10
0x012fdae1,16,,10
0x011ae3cd,16,,10
0x00000001,4,4,
0x0007baba,8,8,
0x0019b3e1,15,,10
0x036cda4a,16,,10
0x01ebfc58,15,,10
0x016ac6d9,17,,10
0x012d7a72,14,,10
0x011bd9d3,12,,10
0x001b3fd6,14,,10
0x036df869,14,,10
0x0197ac65,17,,10
0x013dc7b9,15,,10
0x012c69b5,17,,10
0x003c5e49,16,,10
0x012c7924,15,,10
0x003d5b3d,11,10,
0x16818168,23,,10
0x01adfa8d,13,,10
0x013ffe69,14,,10
0x012dcb57,16,,10
0x011a1ffb,14,10,
0x012cc8e5,14,,9
0x0676924b,18,,10
0x019ae25b,17,,10
0x01696f03,16,,10
0x011aeac7,17,,10
0x00191e9b,14,,10
0x036b9ca5,17,,10
0x018bf2cc,13,,10
0x013c95ac,14,,10
0x011eb6a2,15,,10
0x001e9797,14,,10
0x0663e5a8,17,,10
0x035bad60,16,,10
0x0183d786,14,,10
0x013dc611,16,,10
0x001bcd8c,13,,10
0x037ccb68,15,,10
0x019aecb0,16,,10
0x013e891f,15,,10
0x011eb694,15,,10
0x003dfcda,14,,10
0x177e8117,21,,10
0x01beed79,17,,10
0x019ad6ad,18,,10
0x016ac6e4,17,,10
0x012d69d7,17,,10
0x07b6e965,18,,10
0x003d3fdd,10,9,
0x16698116,23,,10
0x01adf938,15,,10
0x013feb44,14,,10
0x012cdda2,14,,10
0x0119a4f2,16,,10
0x0007b4fe,13,,10
0x035eb90a,14,,10
0x019ee61e,18,,10
0x016bcac1,16,,10
0x012dc2a9,16,,10
0x012db3ba,15,,10
0x01186069,16,,10
0x0006b290,14,,10
0x035baf60,14,,10
0x016ea8e9,17,,10
0x013c9cf9,17,,10
0x011b845f,13,,10
0x012daf7c,14,,10
0x0118e02a,16,,10
0x019ef06a,14,,10
0x016b9dac,17,,10
0x001877fa,11,,10
0x036b6c99,17,,10
0x0187f3e5,14,,10
0x013c88d3,14,,10
0x011b80ed,16,,10
0x001e6f87,16,,10
0x03dbec5a,16,,10
0x019bfa34,15,,10
0x0199aef8,14,,9
0x0168ebca,16,,10
0x011fa1c2,14,,10
0x037ce9c5,17,,10
0x01183acf,16,,10
0x0006b1e3,13,,10
0x035b95dc,15,,10
0x016e988a,16,,10
0x012dbdb1,14,,10
0x011b82dc,16,,10
0x00197389,13,,10
0x036cd923,15,,10
0x01eaec17,16,,10
0x016fae13,16,,10
0x013c6c66,13,,10
0x011e8ae5,16,,10
0x001bdf40,13,,9
0x037dcdb6,17,,10
0x019af59c,14,,10
0x013e986a,14,,10
0x012d593d,13,,10
0x006b9749,18,,10
0x69969669,12,,10
0x036ee954,17,,10
0x0199e296,14,,10
0x013fcacc,12,,10
0x16696997,21,,10
0x01ade8bd,14,,10
0x013fce86,15,,10
0x012cdb96,18,,10
0x003defd2,11,10,
0x177e7ee8,21,,10
0x035bfc90,14,,10
0x016fa390,13,,10
0x016f9aa3,16,,10
0x013d8d6c,15,,10
0x011ae4f9,16,,10
0x0356ad39,15,,10
0x036aedd0,16,,10
0x0187b686,15,,10
0x013c831d,15,,10
0x011b6df9,16,,10
0x001937ee,12,,9
0x036c785c,15,,10
0x019be486,17,,10
0x013eada8,14,,10
0x016aac12,17,,10
0x012db465,16,,10
0x003fde5b,12,,10
0x019ae372,15,,10
0x0186bcd9,19,,10
0x013c6f56,16,,10
0x011b5adc,15,,10
0x0019341c,12,,10
0x036b9ca8,16,,10
0x018bfc7b,12,,10
0x013e9c95,15,,10
0x011ebbe3,15,,10
0x012f6b52,17,,10
0x011ac0c3,14,,10
0x033d99e2,16,,10
0x016bd807,18,,10
0x01acda3d,18,,10
0x013fca99,15,,10
0x012cc1b4,15,,10
0x003deddb,16,,10
0x168181e8,22,,10
0x01afda46,15,,10
0x016eb4ba,16,,10
0x012dcf45,13,,10
0x013f8ea9,17,,10
0x011f623d,15,,10
0x036fbd38,18,,10
0x0186b49d,17,,10
0x036ed825,18,,10
0x0199e869,17,,10
0x013e691d,15,,10
0x011eb5b2,14,,10
0x001e3ed3,16,,10
0x03d9f61e,16,,10
0x01bceb16,15,,10
0x016a6f51,16,,10
0x016bc97c,17,,10
0x012fcef4,14,,10
0x0118f3d5,15,,10
0x01a8d875,14,,10
0x0006679e,16,,10
0x035b6ad9,16,,10
0x016e91b6,16,,10
0x012db8a8,14,,9
0x0119a278,15,,10
0x00196abc,15,,10
0x036c9e83,18,,10
0x01969a81,18,,10
0x017f8346,16,,10
0x013faac3,14,,10
0x011bc097,14,,10
0x0369bd8a,18,,10
0x035ae4b5,15,,10
0x016e7e31,14,,10
0x012db7c8,17,,10
0x0118b466,19,,10
0x000726f5,13,,10
0x035bbe12,17,,10
0x018fba39,15,,10
0x013cac25,16,,10
0x01686fad,17,,10
0x012cd7ae,15,,10
0x06b5bc56,17,,10
0x0199f816,16,,10
0x0199bb4c,14,,10
0x013e5f60,10,10,
0x011e9293,15,,10
0x001e3c51,14,,10
0x037de82e,17,,10
0x019bc975,15,,10
0x0168ae43,17,,10
0x012d5d08,14,,10
0x013d8955,13,,10
0x011bb5aa,13,,10
0x035be871,16,,10
0x016fb523,16,,10
0x000725c3,14,,10
0x00192ff5,13,,10
0x001bed4e,14,,10
0x001ff11b,10,9,
0x011fa4e7,15,,10
0x016998b7,17,,10
0x019ae9d8,15,,10
0x006b9f13,16,,10
0x012dfc36,14,,10
0x016bede5,15,,10
0x035a6ff9,16,,10
0x011b96f1,17,,10
0x013ecd75,14,,10
0x018bf474,10,9,
0x0672eca7,16,,10
0x000316d9,13,,10
0x0007a1de,14,,10
0x0019669f,14,10,
0x001e773e,11,,10
0x006b7f84,14,,10
0x012ddd51,14,,10
0x016bdf92,18,,10
0x0359a79e,17,,10
0x011b95fa,15,,10
0x013e9ee3,17,,10
0x018bd994,16,,10
0x03dbdc1a,15,,10
0x012c6c5b,17,,10
0x016a8df4,16,,10
0x019e9e38,19,,10
0x0118b297,17,,10
0x000625e8,14,,10
0x00178b3e,15,,10
0x0019e2d8,13,,10
0x011b8355,14,,10
0x013e9b29,17,,10
0x018bb5b6,15,,10
0x03d8ec16,15,,10
0x011fb1c4,14,,10
0x016a6a1e,15,,10
0x019bf84b,16,,10
0x0118a4f3,15,,10
0x012f5f9c,15,,10
0x016ea3d7,16,,10
0x035aca76,16,,10
0x011ba565,14,,10
0x00077ad6,15,,9
0x00193eb1,15,,10
0x001e7381,14,,10
0x012d7bfa,16,,10
0x016bc6a6,16,,10
0x01a9cc3b,13,,10
0x011963ec,15,,10
0x013c8945,14,,10
0x017e871a,17,,10
0x036dbe96,17,,10
0x011e76ad,16,,10
0x0168692d,16,,10
